Dates,Data,,Target Month,3/8/21
1/1/18,0.492972,,167,0
1/8/18,0.478972,,167,1
1/15/18,0.4823,,,
1/22/18,0.478855,,,
1/29/18,0.482025,,,
2/5/18,0.474805,,,
2/12/18,0.484625,,,
2/19/18,0.460036,,,
2/26/18,0.462186,,,
3/5/18,0.466846,,,
3/12/18,0.455846,,,
3/19/18,0.451025,,,
3/26/18,0.451125,,,
4/2/18,0.462665,,,
4/9/18,0.461395,,,
4/16/18,0.466615,,,
4/23/18,0.452333,,,
4/30/18,0.45229,,,
5/7/18,0.449065,,,
5/14/18,0.440485,,,
5/21/18,0.453145,,,
5/28/18,0.455824,,,
6/4/18,0.455915,,,
6/11/18,0.454256,,,
6/18/18,0.448856,,,
6/25/18,0.442159,,,
7/2/18,0.459209,,,
7/9/18,0.436055,,,
7/16/18,0.423515,,,
7/23/18,0.433621,,,
7/30/18,0.433542,,,
8/6/18,0.440149,,,
8/13/18,0.421058,,,
8/20/18,0.437613,,,
8/27/18,0.4503,,,
9/3/18,0.44827,,,
9/10/18,0.44434,,,
9/17/18,0.42784,,,
9/24/18,0.43091,,,
10/1/18,0.44075,,,
10/8/18,0.445186,,,
10/15/18,0.444606,,,
10/22/18,0.451774,,,
10/29/18,0.463166,,,
11/5/18,0.447904,,,
11/12/18,0.435251,,,
11/19/18,0.436069,,,
11/26/18,0.442372,,,
12/3/18,0.457152,,,
12/10/18,0.446937,,,
12/17/18,0.477847,,,
12/24/18,0.478497,,,
12/31/18,0.476776,,,
1/7/19,0.452317,,,
1/14/19,0.461487,,,
1/21/19,0.454007,,,
1/28/19,0.438789,,,
2/4/19,0.463677,,,
2/11/19,0.448157,,,
2/18/19,0.449317,,,
2/25/19,0.454187,,,
3/4/19,0.463934,,,
3/11/19,0.47489,,,
3/18/19,0.478491,,,
3/25/19,0.475971,,,
4/1/19,0.473801,,,
4/8/19,0.450399,,,
4/15/19,0.465636,,,
4/22/19,0.463229,,,
4/29/19,0.468159,,,
5/6/19,0.474197,,,
5/13/19,0.483334,,,
5/20/19,0.494687,,,
5/27/19,0.488235,,,
6/3/19,0.512757,,,
6/10/19,0.513457,,,
6/17/19,0.495377,,,
6/24/19,0.505307,,,
7/1/19,0.502087,,,
7/8/19,0.512467,,,
7/15/19,0.507737,,,
7/22/19,0.507068,,,
7/29/19,0.5197,,,
8/5/19,0.50817,,,
8/12/19,0.495531,,,
8/19/19,0.51355,,,
8/26/19,0.51313,,,
9/2/19,0.50366,,,
9/9/19,0.51641,,,
9/16/19,0.499631,,,
9/23/19,0.508811,,,
9/30/19,0.508981,,,
10/7/19,0.54579,,,
10/14/19,0.520795,,,
10/21/19,0.527975,,,
10/28/19,0.521343,,,
11/4/19,0.504293,,,
11/11/19,0.514113,,,
11/18/19,0.516943,,,
11/25/19,0.503003,,,
12/2/19,0.497943,,,
12/9/19,0.517293,,,
12/16/19,0.511743,,,
12/23/19,0.497165,,,
12/30/19,0.516823,,,
1/6/20,0.481513,,,
1/13/20,0.489913,,,
1/20/20,0.478023,,,
1/27/20,0.464056,,,
2/3/20,0.476873,,,
2/10/20,0.497073,,,
2/17/20,0.491253,,,
2/24/20,0.49459,,,
3/2/20,0.50364,,,
3/9/20,0.488709,,,
3/16/20,0.498348,,,
3/23/20,0.498701,,,
3/30/20,0.477317,,,
4/6/20,0.51539,,,
4/13/20,0.50826,,,
4/20/20,0.52884,,,
4/27/20,0.54109,,,
5/4/20,0.518475,,,
5/11/20,0.501477,,,
5/18/20,0.508432,,,
5/25/20,0.491027,,,
6/1/20,0.501657,,,
6/8/20,0.527657,,,
6/15/20,0.521807,,,
6/22/20,0.528937,,,
6/29/20,0.520018,,,
7/6/20,0.523228,,,
7/13/20,0.520047,,,
7/20/20,0.491231,,,
7/27/20,0.486711,,,
8/3/20,0.480694,,,
8/10/20,0.482762,,,
8/17/20,0.486512,,,
8/24/20,0.485189,,,
8/31/20,0.476774,,,
9/7/20,0.488231,,,
9/14/20,0.500071,,,
9/21/20,0.499836,,,
9/28/20,0.492696,,,
10/5/20,0.480418,,,
10/12/20,0.477631,,,
10/19/20,0.494606,,,
10/26/20,0.498966,,,
11/2/20,0.488276,,,
11/9/20,0.490362,,,
11/16/20,0.489976,,,
11/23/20,0.500656,,,
11/30/20,0.522676,,,
